날짜,단어,뜻
Day01,enthusiastic,a. 열정적인
Day01,precious,"a. 소중한, 귀중한"
Day01,property,"n. 재산, 소유물, 속성"
Day01,enrich,"v. 풍요롭게 하다, 풍부하게 하다"
Day01,shield,"v. 보호하다, 가리다 n. 방패"
Day01,compensation,n. 보상
Day01,complaint,"n. 불만, 불평, 항의"
Day01,insightful,a. 통찰력 있는
Day01,interrupt,"v. 중단하다, 방해하다"
Day01,cuisine,"n. 요리, 요리법"
Day01,superior,"a. 우월한, 더 나은, 우세한"
Day01,diversity,n. 다양성
Day01,chance,"n. 기회, 우연, 가능성"
Day01,fix,"v. 수리하다, 고치다, 정하다, 고정시키다"
Day01,burden,"n. 짐, 부담"
Day01,submit,"v. 제출하다, 항복하다"
Day01,cooperation,"n. 협조, 협력, 협동"
Day01,resolve,"v. 해결하다, 다짐하다, 결의하다"
Day01,prayer,n. 기도
Day01,repay,"v. 상환하다, 갚다, 보답하다"
Day01,satisfied,a. 만족한
Day01,order,"v. 주문하다, 순서를 정하다, 정돈[정리]하다, 명령하다 n. 주문, 순서, 정돈, 정리, 명령"
Day01,incorporate,"v. 포함하다, 통합하다"
Day01,dizzy,a. 어지러운
Day01,translate,"v. 통역하다, 번역하다"
Day01,rejection,n. 거절
Day01,manuscript,n. 원고
Day01,tiresome,a. 지루한
Day01,ridiculous,"a. 말도 안 되는, 터무니없는"
Day01,loan,"n. 대출금, 대출"
Day02,microclimate,"n. 미기후(微氣候: 특히 주변 다른 지역과는 다른, 특정 좁은 지역의 기후)"
Day02,abandon,"v. 버리다, 유기하다, 포기하다"
Day02,trap,"v. 가두다 n. 덫, 함정, 올가미"
Day02,cathedral,n. 대성당
Day02,polite,"a. 정중한, 예의 바른"
Day02,blueprint,"n. 설계도, 청사진"
Day02,scent,"n. 향기, 냄새"
Day02,engagement,"n. 관여, 참여"
Day02,flourish,"v. 번영[번성]하다, 무성하다, 우거지다"
Day02,inject,"v. 주입하다, 더하다, 주사하다"
Day02,maximize,"v. 최대화하다, 극대화하다"
Day02,unassuming,a. 겸손한
Day02,irony,"n. 아이러니, 얄궂음, 반어법"
Day02,dictator,"n. 절대 권력자, 독재자"
Day02,pen,v. 쓰다 n. 펜
Day02,civilization,n. 문명
Day02,loyalty,"n. 충성심, 충성도"
Day02,soaked,a. 흠뻑 젖은
Day02,probe,"v. (면밀히) 조사하다, 살피다 n. (면밀한) 조사, 탐침"
Day02,tactic,"n. 책략, 전략, 전술"
Day02,sophisticated,a. 정교한
Day02,inspire,v. 영감을 주다
Day02,ease,"v. 덜어 주다 n. 쉬움, 편안함"
Day02,assumption,"n. (근거 없는) 가정[추정], 전제"
Day02,ancient,"a. 아주 오래된, 고대의"
Day02,abstract,a. 추상적인
Day02,commute,"n. 통근, 출퇴근 v. 통근하다"
Day02,concentrate,"v. 농축시키다, 집중하다"
Day02,fraction,"n. (아주 작은) 일부, 부분"
Day02,controversial,"a. 논쟁의 여지가 있는, 논쟁의 대상인, 논란이 많은"
Day03,contain,"v. 담고 있다, 포함하다, 함유하다, 억누르다"
Day03,intuition,"n. 직관(력), 직감"
Day03,sweep,"v. 쓸다, 휙 젖히다"
Day03,crisis,n. 위기 ( pl. crises )
Day03,corporate,"a. 기업의, 회사의"
Day03,retake,v. 되찾다
Day03,reputable,a. 평판이 좋은
Day03,immunization,n. 예방 접종
Day03,expert,n. 전문가
Day03,myth,"n. 근거 없는 믿음, 신화"
Day03,ultimate,"a. 최종적인, 궁극적인"
Day03,objective,"a. 객관적인 n. 목표, 목적"
Day03,misleading,"a. 오해의 소지가 있는, 오도하는"
Day03,plausible,a. 그럴듯한
Day03,destructive,a. 파괴적인
Day03,nutrition,n. 영양
Day03,antibiotic,"n. 항생제 a. 항생의, 항생 물질의"
Day03,comprehend,v. 이해하다
Day03,polish,"v. 닦다, 다듬다"
Day03,gatekeeper,"n. 문지기, 수문장"
Day03,disruption,"n. 격변, 혼란, 붕괴"
Day03,anxiety,"n. 불안, 걱정"
Day03,policy,n. 정책
Day03,normal,"a. 정상적인, 당연한"
Day03,revisit,"v. 재검토하다, 다시 방문하다"
Day03,comet,n. 혜성
Day03,compassion,n. 연민
Day03,internal,"a. 내면의, 내적인, 내부의"
